benchmark                                                    timed_out time                  exec_time             solver_time
benchmarks/commits/unset_var_set_u_2/posix.sh                False     0.012756208889186382  0.0090123750269413    0.003743833862245083
benchmarks/commits/makefile/posix.sh                         False     0.3764657499268651    0.1369470830541104    0.2395186668727547
benchmarks/commits/debootstrap_2/posix.sh                    True      18.073122126050293    10.75893458398059     7.314187542069703
benchmarks/commits/debootstrap/posix.sh                      True      14.153696291847154    10.254837249871343    3.898859041975811
benchmarks/commits/const_cond/posix.sh                       False     0.16735008312389255   0.1672332501038909    0.00011683302000164986
benchmarks/commits/unset_var_set_u_1/posix.sh                True      11.831117457943037    1.7928209158126265    10.03829654213041
benchmarks/commits/ignored_command_v/posix.sh                True      20.374147708294913    10.281341292196885    10.092806416098028
benchmarks/commits/unset_var_3/posix.sh                      True      16.63897395832464     2.9897440411150455    13.649229917209595
benchmarks/commits/unset_var_2/posix.sh                      False     0.041034541092813015  0.014345749979838729  0.026688791112974286
benchmarks/commits/unset_var_5/posix.sh                      False     4.8107504160143435    3.7218867500778288    1.0888636659365147
benchmarks/commits/unset_func/posix.sh                       False     0.1369519999716431    0.1368685830384493    8.341693319380283e-05
benchmarks/milestone_2/unset_var-const_if-dead_code/posix.sh False     0.00910766702145338   0.006144332932308316  0.0029633340891450644
benchmarks/milestone_2/loop_once-loop_once/posix.sh          False     0.02450720896013081   0.02443308406509459   7.412489503622055e-05
benchmarks/milestone_2/rm_root/posix.sh                      False     0.024736458202823997  0.013871208066120744  0.010865250136703253
benchmarks/milestone_2/loop_once/posix.sh                    False     0.002609750023111701  0.0025605419650673866 4.9208058044314384e-05
benchmarks/high_profile/c02-n/posix.sh                       True      39.16632316703908     10.050167999928817    29.116155167110264
benchmarks/high_profile/c01-bumblebee/posix.sh               True      20.090583374956623    10.083110250066966    10.007473124889657
benchmarks/high_profile/c03-backup_manager/posix.sh          True      35.549589208792895    25.543448874959722    10.006140333833173
benchmarks/high_profile/w00-itunes/posix.sh                  False     0.017190792132169008  0.005079375114291906  0.012111417017877102
benchmarks/high_profile/w01-squid/posix.sh                   True      11.018156999954954    10.069416583981365    0.9487404159735888
benchmarks/high_profile/c00-steam/posix.sh                   True      15.089296457124874    10.567827166058123    4.521469291066751
benchmarks/web_forums/rm_root_2/posix.sh                     True      11.707504250109196    1.695693250047043     10.011811000062153
benchmarks/web_forums/capturing_empty_output/posix.sh        False     0.0075102499686181545 0.007448083953931928  6.216601468622684e-05
benchmarks/web_forums/unexpected_stdin/posix.sh              False     0.016543749952688813  0.011705083074048162  0.004838666878640652
benchmarks/web_forums/unset_var-cmd_always_fails/posix.sh    False     0.8946436680853367    0.23237483389675617   0.6622688341885805
benchmarks/web_forums/unset_var/posix.sh                     False     0.008512123953551054  0.0037931660190224648 0.004718957934528589
benchmarks/simple_fs/cd_into_file/posix.sh                   False     0.12747745821252465   0.06833908311091363   0.05913837510161102
benchmarks/simple_fs/access_after_mv/posix.sh                False     0.6424165009520948    0.14175420883111656   0.5006622921209782
benchmarks/simple_fs/overwrite_file/posix.sh                 False     0.025533625157549977  0.009816208155825734  0.015717417001724243
benchmarks/simple_fs/overwrite_file_4/posix.sh               False     0.0350940830539912    0.013176499865949154  0.021917583188042045
benchmarks/simple_fs/overwrite_file_3/posix.sh               False     0.14603162603452802   0.05104691698215902   0.094984709052369
benchmarks/simple_fs/overwrite_file_2/posix.sh               False     0.08155875117518008   0.01165458420291543   0.06990416697226465
benchmarks/simple_fs/access_del_resource/posix.sh            False     0.0853057918138802    0.029904374852776527  0.05540141696110368
benchmarks/milestone_1/const_loop/posix.sh                   False     0.02976712491363287   0.013666416984051466  0.016100707929581404
benchmarks/milestone_1/redir_to_func-redir_to_func/posix.sh  False     0.038173832930624485  0.014298832975327969  0.023874999955296516
benchmarks/milestone_1/unset_var_1/posix.sh                  False     0.09931845776736736   0.0833702499512583    0.01594820781610906
benchmarks/milestone_1/loop_once-useless_test/posix.sh       False     0.013586167013272643  0.005721542052924633  0.00786462496034801
