benchmark,tool,timed_out,crashed,time,exec_time,solver_time,actual_results,line_numbers,issue_codes,issue_severities,issue_messages_json,issue_count
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/clean.sh,sash,False,False,0.30660700995940715,0.026714261039160192,0.27989274892024696,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/execute.sh,sash,False,False,0.12652710010297596,0.03224134002812207,0.0942857600748539,L6:unbound,6,unbound,error,"[""no definition found for ${BENCHMARK_SCRIPT}""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/fetch.sh,sash,False,False,0.17523658904246986,0.04065699107013643,0.13457959797233343,L5:cmd_expected_path_state;L7:loop_once,5;7,cmd_expected_path_state;loop_once,error;warning,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[d, i, r, n`, ArbitraryType.APPROXIMATION, state<-1570887810572184211>, pre:None, suf:SymStr(parts=('/inputs',)), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not"", ""loop for [i] in [[{, 0, ., ., 9, 9, }]]; do (Command: [[e, c, h, o], [V(Normal,False,i,[])]], reds[[FileRedir: To, fd: ('fixed', 1), arg: [Q([V(Normal,False,inputs_dir,[]), /, B(Command: [[p, r, i, n, t, f], [Q([%, 0, 3, d])], [V(Normal,False,i,[])]]), ., t, x, t])]]]) runs only once""]",2
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/install.sh,sash,False,False,0.018582132062874734,0.006176367052830756,0.012405765010043979,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/scripts/main.sh,sash,False,False,1.5082161760656163,0.09111970907542855,1.4170964669901878,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/100-files/validate.sh,sash,False,False,0.013419845141470432,0.005067208083346486,0.008352637058123946,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/clean.sh,sash,False,False,0.016180853126570582,0.004854684113524854,0.011326169013045728,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/execute.sh,sash,False,False,0.16852150904014707,0.05229875899385661,0.11622275004629046,L6:unbound,6,unbound,error,"[""no definition found for ${BENCHMARK_SCRIPT}""]",1
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/fetch.sh,sash,False,False,0.01566440286114812,0.004117140895687044,0.011547261965461075,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/install.sh,sash,False,False,0.01581909111700952,0.0036808530567213893,0.012138238060288131,,,,,[],0
/users/vagos/resash/benchmarks/_not_integrated/koala/.tools/standards/read-write/scripts/main.sh,sash,False,False,0.06492608692497015,0.024513281998224556,0.040412804926745594,,,,,[],0
