benchmark,tool,timed_out,crashed,time,exec_time,solver_time,actual_results,line_numbers,issue_codes,issue_severities,issue_messages_json,issue_count,ast_nodes_total,ast_nodes_interpreted,ast_coverage_pct
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/lua/fetch.sh,sash,False,False,0.6237728439737111,0.2355723989894613,0.3882004449842497,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/lua',)), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/lua/install.sh,sash,False,False,0.0756625810172408,0.0674648840213194,0.0081976969959214,,,,,[],0,8,8,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/lua/validate.sh,sash,False,False,0.0974329459713772,0.0880735280225053,0.0093594179488718,,,,,[],0,10,10,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/memcached/clean.sh,sash,False,False,0.4243785379221663,0.1225605309009552,0.3018180070212111,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/memcached/execute.sh,sash,False,False,0.1069056509295478,0.0772083849878981,0.0296972659416496,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/memcached/fetch.sh,sash,False,False,0.1515245289774611,0.1000112869078293,0.0515132420696318,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/memcached', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/memcached/install.sh,sash,False,False,0.0822637210367247,0.0743213440291583,0.0079423770075663,,,,,[],0,14,14,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/memcached/validate.sh,sash,False,False,0.1064014659496024,0.0954506979323923,0.01095076801721,,,,,[],0,10,10,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/redis/clean.sh,sash,False,False,0.4145043649477884,0.1176270979922264,0.2968772669555619,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/redis/execute.sh,sash,False,False,0.1122632980113849,0.0760574820451438,0.036205815966241,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/redis/fetch.sh,sash,False,False,0.148033493082039,0.0959352520294487,0.0520982410525903,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/redis', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,14,14,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/redis/install.sh,sash,False,False,0.0998529678909108,0.0917621079133823,0.0080908599775284,,,,,[],0,8,8,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/redis/validate.sh,sash,False,False,0.0766792959766462,0.0671503850026056,0.0095289109740406,,,,,[],0,10,10,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/sqlite/clean.sh,sash,False,False,0.4440067620016634,0.1346301200101152,0.3093766419915482,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/sqlite/execute.sh,sash,False,False,0.1174536489415913,0.0860125549370423,0.031441094004549,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/sqlite/fetch.sh,sash,False,False,0.1557067360263317,0.1031434700125828,0.0525632660137489,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/sqlite', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,14,14,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/sqlite/install.sh,sash,False,False,0.0919321088586002,0.0839689519489184,0.0079631569096818,,,,,[],0,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/sqlite/validate.sh,sash,False,False,0.1140365470200777,0.0933919999515637,0.0206445470685139,,,,,[],0,14,14,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/vim/clean.sh,sash,False,False,0.4253575159236789,0.1188450019108131,0.3065125140128657,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/vim/execute.sh,sash,False,False,0.0971444770693779,0.0668310300679877,0.0303134470013901,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/vim/fetch.sh,sash,False,False,0.1480463430052623,0.0967644680058583,0.0512818749994039,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/vim', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,14,14,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/vim/install.sh,sash,False,False,0.1104726819321513,0.1026663519442081,0.0078063299879431,,,,,[],0,24,24,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/vim/validate.sh,sash,False,False,0.2743824260542169,0.2138067469932139,0.060575679061003,,,,,[],0,26,26,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz/clean.sh,sash,False,False,0.4796888389391824,0.1327965989476069,0.3468922399915755,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,20,20,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz/execute.sh,sash,False,False,0.11976925493218,0.0894650269765406,0.0303042279556393,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz/fetch.sh,sash,False,False,0.148016718099825,0.0985910040326416,0.0494257140671834,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/xz', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,12,12,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz/install.sh,sash,False,False,0.0821147778769955,0.0748111539287492,0.0073036239482462,,,,,[],0,8,8,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz/validate.sh,sash,False,False,0.1078437659889459,0.0969813630217686,0.0108624029671773,,,,,[],0,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz-clang/clean.sh,sash,False,False,0.5003159518819302,0.1490934189641848,0.3512225329177454,L3:loop_once,3,loop_once,warning,"[""loop for [a, r, g] in [[Q([V(Normal,False,@,[])])]]; do (Case: [Q([V(Normal,False,arg,[])])], cases[1]) runs only once""]",1,20,20,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz-clang/execute.sh,sash,False,False,0.1066061590099707,0.0750280189095065,0.0315781401004642,,,,,[],0,16,16,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz-clang/fetch.sh,sash,False,False,0.1585242790170014,0.1060278340009972,0.0524964450160041,L6:cmd_expected_path_state,6,cmd_expected_path_state,error,"[""command 'mkdir' expects paths that are non-files, but one or more of (Field(content=CompletelyArbitrary(s`Frozen(B(Command: [[g, i, t], `, ArbitraryType.APPROXIMATION, state<-4887079858597822709>, pre:None, suf:SymStr(parts=('/ci-cd/inputs/scripts/xz-clang', '/dev')), quoted:True, maybe_empty:True), count=WordCount(min=1, max=1)),) are not""]",1,12,12,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz-clang/install.sh,sash,False,False,0.0767671129433438,0.0697577419923618,0.0070093709509819,,,,,[],0,8,8,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/riker/xz-clang/validate.sh,sash,False,False,0.1168733170488849,0.1061504300450906,0.0107228870037943,,,,,[],0,18,18,100.0
/users/vagos/resash/benchmarks/_not_integrated/koala/ci-cd/validate.sh,sash,False,False,38.90925410599448,10.786062063998545,28.123192041995935,L6:infinite_loop;L22:const_cond;L22:dead_code;L50:loop_once,6;22;22;50,infinite_loop;const_cond;dead_code;loop_once,error;warning;warning;warning,"[""condition for loop While: test: Command: [[[], [V(Normal,False,#,[])], [-, g, t], [0], []]], do: Case: [Q([V(Normal,False,1,[])])], cases[3] never changes, causing an infinite loop"", ""condition [[Field(content=SymStr(parts=('[',)), count=WordCount(min=1, max=1)), Field(content=SymStr(parts=('-z',)), count=WordCount(min=1, max=1)), Field(content=SymStr(parts=('',)), count=WordCount(min=1, max=1)), Field(content=SymStr(parts=(']',)), count=WordCount(min=1, max=1))]] is always true or false"", ""Command: [], ass[[selected_scripts=[Q([V(Normal,False,selected_scripts,[]),  , V(Normal,False,1,[])])]]] is unreachable and will never be executed"", ""loop for [b, e, n, c, h] in [[Q([$, {, m, i, n, _, b, e, n, c, h, m, a, r, k, [, @, ], }])]]; do (If: Command: [[s, h, o, u, l, d, _, r, u, n], [Q([V(Normal,False,bench,[])])]], then: Command: [], ass[[script_path=[Q([V(Normal,False,eval_dir,[]), /, r, i, k, e, r, /, V(Normal,False,bench,[]), /, v, a, l, i, d, a, t, e, ., s, h])]]] ; If: Command: [[[], [-, x], [Q([V(Normal,False,script_path,[])])], []]], then: Command: [[Q([V(Normal,False,script_path,[])])]], else: Command: [[e, c, h, o], [Q([E, r, r, o, r, :,  , V(Normal,False,script_path,[]),  , n, o, t,  , f, o, u, n, d,  , o, r,  , n, o, t,  , e, x, e, c, u, t, a, b, l, e, .])]] ; Command: [[e, x, i, t], [1]]) runs only once""]",4,142,142,100.0
